Tweet ID,User ID,Bullying_Traces?,Type,Form,Teasing?,Author_Role,Emotion,Text
105730486382497793,322329899,y,self-disclosure,other,n,victim,none,"@Underwalt @MsShandraRae @kateplusmy8 mr. walt, stop being a bully."
108654820042354688,361869056,n,,,,,,"Paula, Kiersten and LJ's song about bullying. Great job! (Uploading more videos now.) http://fb.me/ASIm1gw1"
102206417217392640,226320672,n,,,,,,@katie_ogden @boybandslut @StephWall27 @BAMitsSHAZ @xstephhh_ I was not bullying her! She's trying to steal Jean Martyn from meee! :'( xx
108676972149874688,157724561,n,,,,,,"This is actually bullying , I want Wenger to watch this and fucking hold every piece of criticism that comes ! #RAGE"
108901271301394432,91457415,n,,,,,,"If I'm not happy with my classes this week, I'm gonna take the role as a bully and be an asshole. Watch out lower-classmen. It will be ugly."
109034091743154176,177913822,n,,,,,,AUISHUAHS eu e o @wallace_mancha tiramos o dia pra praticar bullying com a @helove_
102533497637437441,70412906,y,report,other,n,reporter,none,"@ninjacodemonkey totally.  on one hand the retaliatory nature is pissy, on the other is great to see that bully-stick smackdown."
103441158314790912,221102655,y,self-disclosure,other,y,victim,none,"@lucy_robbo yes on thur, she said she might, we'll bully in revs. I dunno I have no friends hahaha"
101785736088530944,57086793,n,,,,,,"theres going to be bullys and ignorant people out there thats goi to spread lies about u or bully u,well DONT let it get u down"
103666331349565440,342437494,n,,,,,,@TrickyStewart Hey!(: We Are Beliebers!(: Can YouTell BIEBER To Tweet Us!(: My Friend Has Been Bullied And Needs Cheered Up!XD
103679008855691264,11363462,n,,,,,,don't you get it? This is me getting rid of you. Hahaha #BULLY
104135742401425408,146960481,n,,,,,,"The Bully at School Goes High Tech – Part 1: 
The Section of State and Local Government Law of the Am... http://t.co/DGWXoKd #slaw #law"
105202476927549441,293593896,n,,,,,,Follow-Up to ' Signs Your Child Might Be Getting Bullied' #moms #dads http://t.co/vsfXkHD #parenting #kids
107278521805713408,150964152,n,,,,,,"WED at 8pm on #LETITBEKNOWNLIVERADIO our Discussion ""Violence among the YOUTH PT 2..... Bullying, Gang Violenc… (cont) http://deck.ly/~ZN88q"
107478741424414720,360086723,n,,,,,,Damm I think I'm slick bully this dude always offering shit to avoid me for roasting his ass LoL
103557373079199744,207378439,y,self-disclosure,other,n,victim,none,@BillyBlancO_ @DjLBully nigga used to be a real herbalist bully idk wham ah deal with
106840582453870592,244569315,n,,,,,,@samGarvaux  Mostly I agree with @Shoq.  Having strong opinions does not make one a bully. Just passionate.
103938779231961091,86815267,n,,,,,,"@Looweihao @haoyangg @sleepybed Hello, since when i got bully people? Never physically you know! :( Criminal is not supposed to be me.."
101884602586636288,53301091,n,,,,,,@chelseabieber95 duuuuude. cyber bully much? I just read some of the tweets. how did it even start
105464272934551552,240501669,n,,,,,,http://t.co/XHtRPSc @planetjedward anti-bullying campaign
101495938232750080,331380807,y,self-disclosure,other,y,bully,none,@bbuk @brianofficial bobby needs threw out that is disgusting #sweatgate #bully
101821613984591873,322705559,n,,,,,,Stop Bullying Ppl Old America
106150056868061184,61120235,n,,,,,,Three bully vans just went past Candace's Lewisham riots are starting again lordddddd
106449969682198528,16813960,n,,,,,,News from PrayerThatHeals.org - A spiritual defense against bullying http://t.co/wkmbwMA #constantcontact
108219316192817152,169260909,n,,,,,,For those keeping score at home- cousin who just had massive heart-attack is trying to bully the doctors into letting her out one day early.
101405526843338754,15900909,n,,,,,,Rebecca Black abandona escola após sofrer bullying http://t.co/l0XJuvV
